parameter,family,method,sample_size,mean_bias,mean_rel_bias,mean_bias_z,mean_true_value,min_rel_bias,max_rel_bias
alpha,kw,nr,5000,0.0028600943357974806,0.0014300471678987403,0.09781192885317948,2,0.0014300471678987403,0.0014300471678987403
alpha,kw,optim,100,0.03718854993033904,0.01859427496516952,0.17752967871914657,2,0.01859427496516952,0.01859427496516952
alpha,kw,optim,250,0.016860692710918723,0.008430346355459362,0.1282391379154874,2,0.008430346355459362,0.008430346355459362
alpha,kw,optim,500,0.007838545737202107,0.003919272868601054,0.08460303829664996,2,0.003919272868601054,0.003919272868601054
alpha,kw,optim,1000,0.004398294533975999,0.0021991472669879997,0.06721853964105962,2,0.0021991472669879997,0.0021991472669879997
alpha,kw,optim,5000,7.382145495591352e-4,3.691072747795676e-4,0.02526400910655902,2,3.691072747795676e-4,3.691072747795676e-4
alpha,kw,tmb,100,0.02587548320183286,0.01293774160091643,0.12412711670003287,2,0.01293774160091643,0.01293774160091643
alpha,kw,tmb,250,0.010188826272666596,0.005094413136333298,0.07772363965187984,2,0.005094413136333298,0.005094413136333298
alpha,kw,tmb,500,0.00508512082140733,0.002542560410703665,0.054957596272149856,2,0.002542560410703665,0.002542560410703665
alpha,kw,tmb,1000,0.0013939309934989375,6.969654967494687e-4,0.021333572854439677,2,6.969654967494687e-4,6.969654967494687e-4
alpha,kw,tmb,5000,-2.1777805995215616e-4,-1.0888902997607808e-4,-0.007456198608821385,2,-1.0888902997607808e-4,-1.0888902997607808e-4
beta,bkw,nlminb,100,-0.41234340830679583,-0.13744780276893195,-0.0117157311121269,3,-0.13744780276893195,-0.13744780276893195
beta,bkw,nlminb,250,-0.6130197715578509,-0.20433992385261698,-0.02991138205720561,3,-0.20433992385261698,-0.20433992385261698
beta,bkw,nlminb,500,-0.6648799954586448,-0.22162666515288162,-0.040271635060658895,3,-0.22162666515288162,-0.22162666515288162
beta,bkw,nlminb,1000,-0.6185146591360247,-0.20617155304534154,-0.04732975790132673,3,-0.20617155304534154,-0.20617155304534154
beta,bkw,nlminb,5000,-0.3865677306849076,-0.12885591022830253,-0.06051069997679114,3,-0.12885591022830253,-0.12885591022830253
beta,bkw,nr,100,0.8679624106877917,0.2893208035625972,0.008850803075525403,3,0.2893208035625972,0.2893208035625972
beta,bkw,nr,250,0.5592029917322021,0.18640099724406736,0.005480576929563632,3,0.18640099724406736,0.18640099724406736
beta,bkw,nr,500,0.45951224950144587,0.1531707498338153,0.005553354967641463,3,0.1531707498338153,0.1531707498338153
beta,bkw,nr,1000,0.7218045934602926,0.24060153115343086,0.00740781562464154,3,0.24060153115343086,0.24060153115343086
beta,bkw,nr,5000,0.006454814330933534,0.0021516047769778446,1.4147501769425113e-4,3,0.0021516047769778446,0.0021516047769778446
